experiment,prediction_idx,euclidean_px,angular_deg
ResNet-50,40,133.8374,51.2559
ResNet-50,41,113.0794,18.5968
ResNet-50,42,133.9217,51.6012
ResNet-50,43,120.2875,17.5327
ResNet-50,44,126.1262,54.9049
ResNet-50,45,123.283,18.7409
ResNet-50,46,112.8752,51.9968
ResNet-50,47,158.4366,14.5536
ResNet-50,48,99.7389,46.3108
ResNet-50,49,132.0383,10.8086
ResNet-50,50,82.4427,29.9851
ResNet-50,51,170.7833,4.0972
ResNet-50,52,58.781,30.907
ResNet-50,53,239.5043,19.8321
ResNet-50,54,68.4116,39.1688
ResNet-50,55,255.9543,25.2604
ResNet-50,56,183.0323,26.3088
ResNet-50,57,58.6191,43.8689
ResNet-50,58,145.2581,11.1638
ResNet-50,59,92.7686,63.9346
ResNet-50,60,77.5444,26.1315
ResNet-50,61,72.2572,33.5755
ResNet-50,62,111.5383,29.7364
ResNet-50,63,137.5968,36.9812
ResNet-50,64,149.588,30.5497
ResNet-50,65,154.7293,38.8727
ResNet-50,66,182.5251,32.6228
ResNet-50,67,161.515,45.6429
ResNet-50,68,205.0982,34.0389
ResNet-50,69,168.5572,48.6735
ResNet-50,70,255.3099,35.4395
ResNet-50,71,168.3202,54.3367
ResNet-50,72,267.3361,34.8767
ResNet-50,73,156.6238,51.8032
ResNet-50,74,190.7666,29.7703
ResNet-50,75,61.0041,39.5966
ResNet-50,76,81.6272,16.7042
ResNet-50,77,128.6623,32.7985
ResNet-50,78,134.5161,13.9661
ResNet-50,79,116.3292,29.552
ResNet-50,80,211.2974,2.5051
ResNet-50,81,117.0107,51.1817
ResNet-50,82,259.3925,47.9554
ResNet-50,83,163.8981,69.284
ResNet-50,84,286.2723,99.8719
ResNet-50,85,327.0621,99.5207
ResNet-50,86,330.2838,166.5668
ResNet-50,87,267.0917,20.5517
ResNet-50,88,280.6343,67.5386
ResNet-50,89,276.9974,23.4969
ResNet-50,90,249.4666,0.6099
ResNet-50,91,272.6223,28.7052
ResNet-50,92,146.8258,11.3503
ResNet-50,93,192.7012,3.2826
ResNet-50,94,157.0311,11.7469
ResNet-50,95,116.3491,13.4337
ResNet-50,96,107.334,7.9019
ResNet-50,97,172.2288,10.0774
ResNet-50,98,88.3373,1.535
ResNet-50,99,84.908,0.6749
ResNet-18 (baseline),0,38.3387,8.7257
ResNet-18 (baseline),1,54.349,4.684
ResNet-18 (baseline),2,34.6352,4.773
ResNet-18 (baseline),3,35.2862,3.0671
ResNet-18 (baseline),4,50.0121,8.6391
ResNet-18 (baseline),5,39.7834,0.9642
ResNet-18 (baseline),6,45.1075,8.53
ResNet-18 (baseline),7,48.8366,0.7794
ResNet-18 (baseline),8,40.6769,8.4743
ResNet-18 (baseline),9,56.0833,0.2188
ResNet-18 (baseline),10,52.1819,7.1796
ResNet-18 (baseline),11,67.3271,0.12
ResNet-18 (baseline),12,66.4954,22.0579
ResNet-18 (baseline),13,50.6144,11.3135
ResNet-18 (baseline),14,25.5286,14.7535
